sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Wyndham,21305,144,46322,192,46659,93,7897,57,8044,104,10256,87,10444,33,3600,27,3661,33,3004,19,3058,10,773,5,787,143,2510,3873,6522,561,74349,4260,79173,203,49199,224,49625,73,7287,54,7414,122,8984,69,9173,49,3366,23,3439,17,3794,32,3846,3,1138,10,1155,18,1660,3843,5527,493,75429,4253,80170,351,95516,413,96282,163,15183,110,15457,223,19238,150,19616,83,6966,56,7102,53,6790,49,6898,12,1909,21,1937,166,4169,7718,12048,1053,149780,8517,159348
Frankston,21401,136,22450,150,22739,62,7512,50,7623,107,9534,81,9727,30,3401,37,3469,27,1964,27,2023,8,217,6,226,28,1465,2903,4393,401,46543,3251,50197,184,27198,181,27564,66,7064,52,7185,92,8518,94,8706,48,3106,43,3196,23,2404,44,2468,6,231,0,243,21,1819,3080,4919,440,50346,3497,54284,326,49648,328,50297,131,14578,106,14811,202,18048,182,18435,84,6508,77,6667,48,4364,76,4491,11,447,7,467,47,3286,5979,9314,847,96883,6753,104479
Mornington Peninsula,21402,151,26579,175,26898,68,8744,54,8868,92,10873,119,11088,37,3807,45,3890,26,2429,35,2493,7,245,0,247,19,1760,3070,4852,402,54429,3497,58329,187,31734,209,32130,50,8928,71,9045,82,10258,100,10444,41,3737,59,3835,26,3072,55,3150,3,206,5,221,14,2257,3307,5579,398,60189,3811,64399,335,58313,382,59025,116,17669,128,17912,179,21139,218,21528,75,7538,103,7719,51,5498,88,5640,10,452,5,468,38,4014,6381,10430,797,114625,7313,122735
Grampians,21501,47,6978,62,7089,38,4190,35,4269,39,4570,59,4672,36,2115,23,2176,39,2023,27,2086,7,162,0,167,62,1515,1290,2864,261,21548,1511,23319,57,8891,74,9022,31,4080,42,4160,51,3984,52,4086,28,1844,21,1896,31,1819,37,1880,0,114,3,119,25,1056,1362,2439,223,21782,1595,23600,102,15865,141,16111,69,8274,81,8422,88,8551,113,8759,65,3962,45,4069,63,3840,66,3971,7,270,3,280,86,2565,2650,5306,488,43328,3105,46918
Mildura,21502,105,6225,51,6383,56,2867,38,2959,151,4297,56,4504,91,1755,27,1876,59,1642,27,1732,3,245,3,245,28,836,1645,2515,497,17868,1850,20213,157,7860,72,8086,99,2916,23,3035,191,3774,49,4010,89,1629,24,1743,63,1669,31,1761,4,215,0,220,54,923,1558,2536,653,18982,1757,21390,255,14083,125,14465,154,5782,53,5994,344,8071,106,8513,181,3381,56,3616,123,3314,62,3493,8,456,5,470,86,1760,3204,5049,1145,36851,3604,41601
Murray River - Swan Hill,21503,63,3783,50,3888,37,2310,24,2367,74,3057,47,3182,33,1469,25,1527,40,1297,22,1361,8,152,6,162,27,642,1398,2072,276,12713,1569,14556,80,5080,42,5204,59,2285,19,2370,73,2479,38,2596,43,1094,27,1166,37,1128,31,1197,3,116,4,126,37,658,1365,2063,336,12845,1531,14712,140,8860,90,9092,97,4594,43,4732,149,5543,83,5770,75,2567,49,2692,74,2426,58,2555,13,265,14,291,71,1302,2762,4135,616,25556,3096,29268
Campaspe,21601,57,3795,46,3893,46,2362,23,2425,58,3351,48,3462,47,1530,19,1599,33,1183,18,1235,6,55,0,58,20,611,936,1566,262,12891,1091,14234,72,5232,48,5349,39,2483,23,2546,63,2804,35,2902,41,1203,20,1263,27,1052,21,1098,3,31,0,38,20,708,979,1702,265,13515,1122,14903,123,9024,91,9246,82,4850,45,4976,125,6158,79,6363,81,2736,45,2865,55,2231,37,2326,6,84,0,98,44,1311,1909,3269,521,26402,2215,29135
Moira,21602,31,2899,23,2952,23,1837,22,1884,44,2641,33,2720,25,1229,16,1266,18,1032,23,1064,0,57,0,57,15,558,830,1403,147,10252,941,11346,44,4105,37,4185,21,1777,16,1817,38,2342,24,2405,7,935,12,952,21,829,17,864,0,53,0,51,11,552,800,1362,142,10593,904,11640,74,7004,60,7134,50,3622,36,3704,79,4984,56,5123,31,2159,22,2219,34,1854,40,1930,0,110,0,109,25,1113,1625,2767,291,20842,1842,22980
Shepparton,21603,125,7908,49,8079,93,3570,36,3706,147,4371,36,4553,91,1985,21,2093,84,1811,33,1924,7,387,7,405,70,1063,1795,2928,630,21099,1972,23694,192,9839,83,10114,105,3428,30,3566,152,3962,49,4163,89,1630,27,1744,63,1755,41,1861,7,364,3,371,53,893,1860,2806,659,21875,2094,24626,315,17744,132,18195,201,6998,68,7271,306,8332,83,8722,177,3610,44,3839,150,3564,72,3787,10,757,9,780,122,1960,3655,5736,1289,42972,4059,48322
Glenelg - Southern Grampians,21701,30,4012,42,4085,42,2473,23,2536,44,3017,34,3094,18,1376,10,1405,21,1170,20,1211,5,46,0,51,21,516,895,1428,186,12610,1020,13814,64,5430,46,5536,41,2477,33,2547,51,2560,30,2639,25,1082,17,1123,24,1040,11,1076,3,30,0,37,14,633,883,1528,217,13243,1029,14486,97,9441,85,9621,80,4946,60,5083,98,5579,63,5738,40,2460,25,2525,47,2208,35,2284,9,80,3,93,35,1144,1774,2957,401,25850,2048,28301
Colac - Corangamite,21703,42,4309,40,4383,11,2587,25,2619,23,2940,49,3015,14,1423,19,1453,12,1189,25,1226,0,98,3,102,3,587,994,1584,106,13126,1152,14392,44,5850,55,5948,17,2389,44,2456,17,2401,32,2456,17,1073,11,1101,11,1028,18,1062,0,71,0,80,4,639,935,1581,118,13452,1106,14679,88,10152,91,10331,33,4982,70,5078,41,5344,81,5471,29,2491,29,2555,26,2218,49,2291,0,168,11,178,11,1228,1930,3166,229,26583,2261,29072
Warrnambool,21704,67,6871,55,6992,27,3192,25,3245,54,3461,30,3544,32,1576,22,1624,24,1184,15,1222,5,64,3,76,19,626,1268,1905,210,16978,1417,18610,61,9035,54,9154,35,3212,28,3280,49,2953,31,3035,24,1234,16,1273,18,1166,21,1212,5,49,0,58,13,746,1347,2098,206,18398,1511,20104,124,15910,111,16144,68,6407,59,6526,96,6414,62,6576,57,2806,40,2898,38,2351,39,2430,9,113,3,125,29,1370,2616,4006,420,35373,2922,38715
Capalaba,30101,186,14001,52,14240,44,2037,16,2099,128,6543,43,6712,34,1063,7,1103,20,1092,11,1125,9,70,0,73,11,476,983,1468,434,25282,1108,26820,224,15276,66,15565,42,1690,11,1748,145,6974,42,7166,32,1024,9,1066,17,1199,16,1234,0,88,0,85,13,506,988,1507,481,26755,1135,28379,415,29279,116,29808,88,3724,30,3843,275,13516,83,13881,62,2087,20,2168,37,2287,30,2360,9,150,0,162,23,989,1970,2982,914,52038,2247,55197
Cleveland - Stradbroke,30102,236,15184,84,15498,36,2311,23,2375,182,7924,59,8155,52,1324,19,1389,45,1340,19,1407,8,67,0,79,18,670,1398,2088,574,28816,1599,30993,267,16822,108,17197,61,2229,8,2299,192,8658,64,8911,42,1306,16,1359,46,1471,10,1528,4,50,0,55,22,843,1469,2334,638,31377,1668,33682,496,32006,189,32695,101,4543,32,4670,374,16584,118,17072,93,2622,31,2753,96,2808,35,2935,8,115,0,129,43,1516,2864,4427,1209,60196,3270,64674
Wynnum - Manly,30103,222,14109,68,14403,40,1707,12,1763,111,5130,28,5267,39,812,5,863,29,999,13,1040,3,77,0,79,16,499,1175,1688,463,23328,1307,25098,280,15488,68,15833,42,1527,9,1574,140,5518,42,5696,41,852,11,903,35,1346,18,1394,3,69,0,72,9,679,1051,1744,548,25470,1198,27222,505,29599,136,30240,86,3235,24,3340,248,10644,67,10965,75,1667,21,1766,64,2344,28,2440,9,139,0,153,24,1174,2225,3424,1009,48799,2508,52319
Bald Hills - Everton Park,30201,104,9924,36,10053,16,809,3,836,44,2482,16,2546,9,355,0,363,8,469,4,481,0,47,0,48,3,265,547,816,185,14350,615,15153,117,10337,41,10488,12,762,5,781,53,3209,19,3279,4,400,0,408,5,700,12,718,0,63,0,66,3,429,533,967,198,15896,619,16711,216,20256,76,20545,34,1574,14,1619,96,5689,34,5827,15,758,0,770,18,1164,18,1201,4,118,0,120,9,689,1086,1779,380,30251,1231,31858
Chermside,30202,226,16651,55,16940,35,1360,8,1405,101,3950,36,4087,27,622,0,650,29,928,14,965,4,120,0,122,13,651,1180,1850,438,24283,1294,26019,239,17927,65,18237,39,1173,8,1224,105,4859,30,5002,34,648,13,692,31,1464,17,1513,0,160,3,167,25,891,1167,2081,480,27123,1307,28903,468,34583,124,35172,80,2535,13,2627,209,8808,72,9088,67,1266,9,1347,55,2390,32,2475,3,283,3,288,35,1539,2343,3926,919,51404,2601,54925
Nundah,30203,151,9594,45,9791,19,864,9,890,61,2444,25,2531,10,393,4,406,14,579,5,605,3,76,0,83,17,391,753,1157,279,14351,836,15466,143,9911,38,10098,16,764,0,786,57,2555,21,2630,18,325,5,344,14,701,3,718,0,89,3,93,13,563,733,1308,270,14899,807,15977,297,19507,84,19892,37,1626,11,1674,117,5001,42,5159,31,715,7,757,31,1279,12,1324,0,164,3,174,32,950,1480,2464,546,29251,1644,31439
Sandgate,30204,206,11983,64,12252,40,1372,3,1420,113,4267,21,4401,35,759,9,800,35,1039,17,1085,4,131,0,140,14,567,925,1511,446,20112,1048,21605,230,13219,58,13512,42,1221,5,1266,129,4798,28,4954,38,743,7,789,18,1421,16,1457,9,136,6,153,11,690,1001,1704,481,22230,1118,23827,437,25205,121,25765,84,2595,12,2688,240,9066,49,9357,70,1505,20,1587,56,2456,29,2537,13,270,5,285,27,1256,1932,3218,923,42344,2166,45435
Carindale,30301,117,12868,33,13014,5,880,3,896,35,2402,11,2449,11,333,3,345,9,584,4,601,0,64,0,64,6,306,864,1175,189,17435,922,18545,132,13831,42,14015,15,860,5,878,40,3009,29,3079,12,397,3,412,10,918,14,950,0,87,0,88,9,480,852,1339,219,19582,953,20755,255,26697,71,27029,18,1740,9,1775,73,5410,44,5532,14,735,3,759,25,1505,23,1553,0,153,0,150,12,785,1717,2506,408,37022,1869,39295
Holland Park - Yeronga,30302,209,20789,84,21080,16,1163,9,1183,61,2776,18,2858,14,422,0,432,18,677,10,701,4,121,0,125,17,452,1854,2324,338,26398,1978,28710,196,21761,86,22037,26,937,8,967,60,3031,22,3106,10,427,3,437,20,923,14,955,3,161,3,167,16,550,1733,2302,320,27788,1860,29970,407,42547,166,43122,41,2098,14,2154,119,5806,39,5964,21,853,4,875,38,1595,25,1654,6,285,3,292,34,1001,3586,4624,656,54188,3840,58685
Mt Gravatt,30303,148,18753,69,18979,23,1163,7,1194,65,3346,17,3431,19,576,8,605,13,922,8,941,0,182,0,181,12,509,1121,1639,274,25457,1234,26966,148,19703,76,19932,18,1013,6,1037,69,4096,36,4193,19,605,4,626,25,1298,22,1343,0,273,4,279,11,732,1111,1854,291,27714,1251,29264,301,38457,151,38908,40,2176,15,2230,129,7438,55,7620,36,1178,12,1232,39,2222,31,2290,0,450,4,458,24,1250,2227,3495,573,53173,2481,56223
Nathan,30304,89,10518,39,10643,12,645,3,660,34,1810,16,1865,8,354,0,366,12,532,3,550,0,114,0,114,5,254,766,1026,165,14231,828,15222,111,10666,37,10813,13,504,0,511,38,2031,16,2090,7,342,8,346,8,714,3,726,0,145,0,146,0,261,738,996,175,14666,802,15644,200,21184,78,21458,24,1147,3,1172,72,3846,31,3951,13,688,10,715,17,1250,10,1281,0,261,0,265,12,518,1500,2030,339,28893,1636,30866
Rocklea - Acacia Ridge,30305,123,14479,47,14643,19,1110,15,1135,65,3034,18,3117,24,592,6,620,30,731,9,769,3,262,0,268,10,469,910,1395,262,20673,1001,21945,135,15164,39,15336,28,1027,7,1061,71,3200,23,3295,26,537,0,564,7,985,4,1001,0,352,9,362,13,530,854,1391,279,21799,939,23017,255,29647,82,29984,47,2134,21,2197,135,6234,41,6408,46,1129,7,1185,41,1717,12,1771,4,612,11,630,22,1000,1765,2787,544,42470,1938,44957
Mudgeeraba - Tallebudgera,30905,72,6254,36,6357,19,944,5,968,46,2748,16,2809,9,467,0,483,8,305,0,311,0,22,0,26,3,179,599,786,153,10917,663,11738,62,7227,38,7330,10,938,3,950,43,2769,14,2837,20,445,0,468,3,258,4,267,0,16,0,19,3,201,613,811,140,11865,676,12682,131,13478,75,13689,26,1878,10,1915,88,5524,31,5646,29,916,6,949,10,559,3,581,0,38,0,43,6,379,1212,1602,293,22786,1344,24419
Nerang,30906,147,11994,62,12200,41,2202,13,2253,117,5898,28,6046,35,1268,11,1311,10,780,7,796,4,64,0,75,7,515,1465,1983,361,22720,1583,24666,173,13713,61,13947,53,2159,9,2219,135,6067,49,6248,30,1094,18,1137,14,790,7,814,5,80,0,85,5,633,1513,2142,418,24531,1652,26604,320,25711,122,26148,91,4364,20,4473,251,11961,77,12293,60,2362,24,2448,27,1570,18,1618,8,150,3,161,12,1144,2970,4124,779,47253,3239,51261
Ormeau - Oxenford,30907,265,21102,92,21455,56,3846,17,3914,198,9825,58,10079,54,1964,14,2037,32,1106,19,1152,10,105,6,119,11,726,2828,3564,622,38670,3029,42321,349,23996,109,24445,71,3796,27,3899,186,9788,55,10026,57,1683,19,1755,20,1053,13,1090,5,103,0,110,15,832,2789,3636,706,41248,3013,44965,612,45091,196,45902,130,7641,45,7811,384,19611,112,20104,116,3652,35,3798,49,2155,34,2242,16,206,6,227,25,1558,5617,7203,1328,79920,6042,87287
Outback - South,31503,130,2167,17,2310,43,359,6,410,167,1888,25,2075,65,436,8,515,101,690,12,800,12,54,3,68,36,250,501,789,554,5841,566,6956,191,2836,27,3047,71,416,5,488,132,1598,21,1753,62,244,0,310,86,468,3,556,8,27,0,34,45,239,477,756,592,5819,530,6946,317,4999,43,5359,112,771,8,897,294,3486,40,3827,133,681,6,824,183,1151,13,1350,17,78,7,100,83,489,977,1547,1147,11659,1094,13900
Buderim,31601,111,10818,45,10976,29,1547,14,1588,63,3959,24,4050,13,664,7,686,9,543,5,550,8,26,0,34,7,430,992,1426,239,17993,1085,19310,151,12587,55,12799,26,1673,17,1711,60,4805,39,4913,11,736,6,753,5,651,11,668,3,33,0,32,4,635,962,1608,263,21131,1091,22482,261,23408,97,23770,53,3217,26,3299,129,8766,65,8958,22,1405,15,1439,14,1194,14,1224,9,60,0,70,10,1068,1951,3034,505,39117,2176,41794
Caloundra,31602,184,14170,53,14411,34,2332,18,2380,141,7673,55,7875,42,1433,16,1487,35,1447,15,1491,4,72,3,78,13,678,1515,2207,457,27806,1674,29930,191,15645,89,15929,40,2494,19,2550,126,8935,68,9125,37,1576,24,1630,21,1749,22,1792,4,71,0,75,25,920,1524,2471,447,31389,1739,33573,376,29817,136,30336,79,4821,37,4935,266,16608,123,17004,75,3003,39,3121,53,3191,38,3282,8,141,3,150,38,1602,3037,4679,899,59192,3411,63508
Maroochy,31603,144,10922,63,11125,25,1748,6,1779,117,5190,40,5347,24,926,6,961,22,731,6,762,0,53,0,55,4,466,1658,2122,334,20035,1782,22147,190,12299,54,12542,26,1805,14,1840,99,5763,40,5898,25,938,7,972,11,824,14,851,0,51,0,54,4,601,1757,2361,354,22282,1880,24519,327,23222,109,23663,51,3553,22,3624,213,10951,77,11244,54,1864,16,1934,31,1559,20,1608,4,102,0,107,10,1066,3409,4481,693,42317,3657,46668
Noosa,31605,55,8352,51,8457,8,1294,12,1318,34,3247,26,3313,7,575,3,590,4,362,4,374,8,30,0,32,7,403,948,1354,131,14265,1040,15436,77,9205,61,9338,19,1409,6,1434,40,3735,35,3808,7,610,3,623,9,491,11,503,0,24,3,25,3,592,937,1532,156,16056,1055,17271,135,17554,111,17792,27,2705,22,2750,77,6985,61,7121,20,1190,12,1215,16,848,13,871,8,52,3,61,6,997,1878,2887,284,30322,2092,32700
Sunshine Coast Hinterland,31606,101,8400,58,8560,32,1524,17,1573,92,5150,59,5301,29,985,11,1025,15,924,10,952,0,39,0,38,10,480,1052,1539,281,17497,1207,18984,107,9861,75,10041,25,1483,10,1523,85,5244,56,5385,23,821,9,855,16,729,11,753,0,30,0,26,12,524,962,1497,268,18697,1123,20079,211,18255,138,18605,61,3009,27,3096,177,10398,114,10682,54,1803,18,1875,30,1649,25,1705,0,65,4,70,27,1002,2012,3039,551,36187,2331,39066
Nambour,31607,147,6810,33,6996,35,1416,7,1461,111,4266,35,4406,37,806,7,850,26,766,3,792,3,50,0,56,9,413,936,1361,367,14538,1024,15926,138,8036,52,8224,45,1349,11,1409,103,4366,26,4500,20,763,13,796,17,737,3,763,3,39,0,47,16,493,855,1367,352,15792,964,17104,290,14844,83,15217,86,2765,24,2870,209,8634,60,8905,57,1574,23,1649,42,1501,9,1553,4,89,0,100,30,913,1792,2735,716,30328,1984,33027
Noosa Hinterland,31608,52,3766,33,3847,5,709,4,722,39,2268,19,2327,10,411,3,421,9,356,7,371,0,21,0,21,8,171,511,691,131,7693,585,8405,44,4380,32,4460,13,670,0,687,40,2222,30,2284,12,311,6,328,7,300,9,315,0,16,4,19,3,162,457,622,116,8067,535,8714,99,8149,63,8309,23,1382,11,1405,80,4490,48,4612,20,718,6,749,16,657,16,688,3,35,3,39,6,341,969,1313,243,15758,1118,17117
Charters Towers - Ayr - Ingham,31801,369,4803,46,5217,188,1105,9,1297,419,4487,52,4959,178,940,14,1127,210,1625,25,1858,19,85,0,109,73,518,1190,1778,1449,13560,1334,16346,414,5564,30,6015,217,942,6,1163,448,4245,59,4750,165,778,14,958,166,1433,25,1622,11,54,0,72,101,499,1163,1770,1527,13517,1298,16347,785,10366,80,11233,400,2045,19,2465,873,8728,108,9711,337,1723,23,2087,373,3058,44,3477,29,140,3,176,176,1019,2353,3543,2980,27077,2630,32691
Townsville,31802,1412,32866,179,34453,344,5344,48,5734,843,15328,120,16295,257,2808,27,3098,237,2954,42,3233,36,231,8,274,578,1596,5653,7824,3701,61126,6074,70901,1672,36467,187,38327,439,4492,36,4957,1000,15270,123,16400,226,2417,25,2667,238,2838,45,3113,27,252,3,283,315,1503,4575,6396,3915,63246,4994,72147,3084,69333,363,72780,783,9835,78,10697,1846,30602,243,32693,480,5230,57,5763,469,5792,83,6345,65,487,10,557,888,3100,10227,14222,7618,124374,11066,143054
Bundaberg,31901,292,11102,83,11473,105,2317,22,2440,304,9981,69,10357,107,2380,35,2523,109,2995,39,3142,14,138,10,165,48,1188,2242,3476,984,30096,2505,33583,357,12880,89,13328,115,2413,19,2554,327,10640,92,11057,111,2203,30,2342,100,2847,41,2988,3,127,5,140,46,1350,2104,3504,1065,32468,2377,35913,648,23980,176,24799,223,4734,42,4997,633,20624,165,21412,221,4584,61,4868,209,5837,83,6129,16,272,19,305,95,2540,4344,6979,2045,62567,4879,69496
Burnett,31902,252,5061,62,5375,113,1149,9,1271,301,5683,81,6066,154,1458,16,1627,139,2146,44,2324,16,97,0,116,106,866,1496,2470,1082,16457,1709,19246,296,6225,59,6579,181,1211,22,1413,346,5369,58,5781,130,1136,18,1281,112,1625,26,1771,18,64,0,82,82,818,1337,2241,1172,16456,1524,19150,556,11287,124,11961,285,2361,34,2681,649,11051,144,11840,282,2591,29,2904,250,3775,69,4094,37,164,4,200,192,1690,2836,4711,2250,32910,3240,38399
Gympie - Cooloola,31903,139,5893,62,6092,34,1391,18,1445,148,5925,61,6130,55,1480,10,1551,52,1637,20,1708,4,66,0,71,31,639,1418,2090,466,17027,1595,19086,147,7102,75,7326,56,1435,18,1508,161,5982,60,6198,45,1152,7,1201,50,1392,17,1465,4,52,0,55,32,744,1344,2117,496,17854,1517,19875,289,12999,137,13418,89,2823,36,2950,311,11905,119,12327,99,2631,20,2752,98,3033,37,3171,11,119,3,131,62,1383,2767,4205,957,34886,3112,38955
Hervey Bay,31904,177,7292,49,7521,59,1718,15,1797,189,6288,42,6513,62,1554,25,1643,49,1561,18,1630,3,90,0,96,25,745,1422,2199,570,19249,1578,21392,232,8676,62,8973,76,1743,19,1838,228,7133,54,7415,73,1579,19,1666,51,1589,23,1662,3,65,3,70,22,935,1444,2404,684,21720,1625,24023,409,15970,110,16490,138,3466,36,3642,413,13415,100,13927,133,3134,42,3309,96,3151,44,3289,9,157,3,167,49,1683,2868,4603,1250,40968,3203,45417
Brisbane Inner - North,30503,227,26045,110,26386,24,1330,7,1360,76,2938,9,3024,23,455,8,488,15,579,6,598,0,85,0,91,23,519,2637,3172,388,31953,2776,35117,230,27001,88,27324,27,1207,12,1244,68,3359,17,3438,11,414,9,433,13,749,12,778,0,102,0,102,16,611,2527,3161,372,33442,2658,36477,463,53050,204,53712,46,2537,18,2603,144,6292,27,6464,37,869,15,924,32,1329,17,1375,0,190,0,193,41,1130,5166,6329,763,65399,5438,71594
Brisbane Inner - West,30504,130,17348,56,17531,19,660,8,680,17,1423,9,1444,14,170,0,178,4,258,8,268,3,52,0,53,3,263,1413,1681,179,20167,1484,21835,119,18245,54,18414,13,646,3,657,18,1690,20,1726,9,188,6,197,4,376,7,386,3,48,0,46,0,256,1283,1542,169,21435,1377,22979,248,35587,107,35945,25,1301,7,1337,37,3105,28,3174,20,358,6,379,12,634,13,652,6,96,0,98,9,523,2700,3224,347,41603,2860,44815
Cairns - North,30601,312,10072,53,10431,69,1766,13,1848,128,3902,26,4049,22,639,4,666,16,407,3,428,5,40,0,45,27,289,1523,1835,573,17114,1618,19306,354,11845,60,12261,76,1577,6,1664,131,3654,27,3807,35,546,7,588,37,415,11,463,10,39,0,50,28,327,1461,1812,665,18402,1568,20634,666,21911,109,22686,147,3341,18,3507,254,7553,55,7858,54,1186,13,1252,53,831,12,890,13,83,0,96,56,617,2982,3651,1237,35516,3185,39944
Cairns - South,30602,1162,16008,100,17272,356,2788,26,3176,688,7619,82,8386,218,1393,19,1633,259,1513,19,1790,50,341,3,399,235,894,3738,4860,2963,30561,3982,37510,1621,18054,122,19797,515,2368,24,2902,911,7180,65,8152,271,1230,15,1515,261,1550,30,1838,30,381,0,410,310,929,3646,4875,3914,31688,3893,39493,2775,34068,221,37066,874,5153,49,6073,1600,14796,139,16542,490,2624,27,3145,524,3059,50,3628,83,724,3,808,539,1821,7381,9740,6880,62247,7874,76998
Sunnybank,30306,47,14028,38,14116,13,701,3,715,30,2181,12,2222,9,447,4,455,8,733,5,748,3,263,0,269,3,306,798,1110,120,18663,863,19641,80,13497,48,13620,8,610,5,623,33,2395,8,2434,9,476,0,486,12,1053,5,1070,0,380,0,383,3,364,786,1150,144,18775,850,19773,126,27530,80,27734,21,1312,8,1339,61,4572,25,4653,19,921,5,947,23,1786,10,1816,3,649,0,651,4,675,1582,2262,264,37440,1710,39418
Centenary,30401,58,8615,34,8707,0,602,11,610,17,1552,8,1577,0,193,3,196,7,196,0,206,3,49,3,54,0,217,321,547,93,11424,375,11890,55,8998,38,9083,13,557,3,574,18,1970,14,2002,4,205,3,208,4,313,0,321,0,50,0,53,4,375,307,684,99,12470,364,12935,117,17606,65,17790,13,1159,12,1185,36,3520,19,3582,5,393,5,408,13,514,0,522,3,100,6,108,11,595,627,1235,195,23895,738,24824
Kenmore - Brookfield - Moggill,30402,45,12849,51,12946,9,595,3,606,13,1436,9,1455,0,178,0,180,0,167,0,171,3,28,0,30,0,270,541,815,66,15525,606,16200,49,13455,53,13560,3,698,3,713,7,1970,14,1985,0,219,0,218,0,257,3,258,0,20,0,20,0,430,491,920,63,17052,571,17677,94,26304,110,26510,10,1297,7,1317,21,3409,17,3443,0,397,0,394,0,421,3,427,3,49,0,54,3,701,1036,1738,133,32573,1175,33879
Sherwood - Indooroopilly,30403,86,16815,52,16952,4,517,0,525,16,1099,7,1120,0,154,0,154,10,168,3,181,4,44,0,52,3,242,1003,1242,117,19045,1069,20227,92,17739,67,17896,4,537,3,543,7,1507,6,1521,4,211,3,217,3,309,0,312,0,60,0,60,3,369,996,1371,118,20728,1076,21920,179,34556,117,34852,11,1053,3,1069,21,2609,13,2640,5,360,4,373,9,481,4,490,4,103,0,111,7,614,2001,2614,234,39769,2140,42149
The Gap - Enoggera,30404,167,12476,47,12695,24,988,3,1018,62,2592,16,2667,11,317,0,331,10,402,8,422,4,59,3,63,3,276,670,946,282,17113,745,18142,140,13038,42,13223,28,836,3,865,51,3321,25,3398,16,394,3,412,12,708,4,725,0,55,0,57,4,424,660,1093,261,18779,737,19778,308,25517,89,25914,55,1823,8,1885,111,5916,37,6064,29,708,3,746,20,1114,14,1150,7,117,4,121,10,696,1332,2043,541,35891,1487,37925
Brisbane Inner,30501,176,22414,94,22682,25,1251,6,1283,52,2191,17,2265,20,382,3,408,19,518,7,542,4,176,0,182,12,448,3494,3957,314,27385,3627,31321,168,21777,68,22011,21,998,11,1027,55,2097,14,2166,7,301,0,306,14,620,4,637,0,169,5,179,4,400,3040,3449,270,26365,3141,29773,346,44189,161,44700,44,2254,16,2309,106,4291,33,4427,30,680,3,717,25,1137,16,1181,4,347,7,353,24,853,6534,7408,584,53751,6764,61094
