sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Bayside,20801,950,842,1793,2515,2544,5054,896,947,1837,1019,1016,2033,4424,4500,8929,923,881,1811,666,779,1440,2246,1933,4177,3835,3595,7429,112,88,200,47,101,143,134,49,187,117,210,325,5,6,7,416,449,863,1577,1631,3208,246,324,573,174,164,329,388,645,1029,11,26,36,2390,2785,5178,57,54,113,136,336,475,3,6,6,198,395,592,2162,2689,4850,378,567,943,14756,15816,30573
Stonnington - West,20606,305,315,621,500,469,967,151,167,324,459,509,964,1109,1140,2256,136,211,349,147,187,332,582,641,1222,865,1037,1907,103,106,207,117,142,262,54,57,105,160,200,361,5,3,5,436,509,946,1248,1679,2930,585,688,1277,120,185,309,565,700,1261,6,5,12,2525,3260,5789,62,106,168,141,288,430,0,6,7,209,401,604,2697,2952,5646,614,744,1355,8764,10365,19124
Yarra,20607,438,465,904,1463,1357,2826,277,309,583,163,215,381,1909,1881,3790,661,771,1430,277,220,497,311,364,676,1245,1364,2601,142,140,275,197,274,469,75,66,145,297,308,601,9,8,20,713,791,1502,1363,1878,3240,1008,1191,2196,155,209,366,910,1389,2293,5,13,22,3446,4675,8119,109,230,335,254,431,682,3,14,16,362,672,1033,4187,4365,8548,548,757,1312,12845,14965,27818
Boroondara,20701,1430,1328,2755,4509,4082,8588,1385,1275,2658,1167,1440,2612,7067,6795,13863,2146,2196,4342,1526,1233,2762,2918,3128,6040,6587,6557,13148,307,205,519,217,288,504,166,79,244,328,410,742,3,5,14,1033,987,2018,4911,4772,9684,1328,1387,2715,405,426,832,1001,1416,2418,20,27,48,7663,8031,15699,188,239,429,301,579,881,6,16,19,498,830,1334,3631,3947,7575,1346,1648,2994,29254,30128,59382
Manningham - West,20702,704,649,1355,2373,2127,4506,735,689,1427,234,246,481,3346,3064,6410,1864,1648,3511,575,611,1185,568,581,1145,3000,2839,5839,185,147,332,126,184,309,166,57,218,188,244,428,5,6,18,672,633,1305,1822,1885,3706,437,468,903,153,157,307,338,450,784,13,24,31,2754,2985,5737,139,144,282,240,414,654,4,7,11,384,564,948,1669,2008,3672,768,1033,1802,13301,13763,27069
Darebin - North,20902,639,620,1259,2100,1894,3998,801,761,1558,223,214,436,3123,2868,5993,1261,1126,2390,709,762,1471,209,225,429,2186,2109,4297,222,238,461,233,317,546,165,81,243,261,330,591,14,3,15,888,975,1862,2190,2581,4773,1276,1150,2427,140,174,314,449,633,1079,12,13,27,4069,4556,8625,257,255,509,241,415,657,0,5,3,497,676,1172,3577,3830,7412,547,774,1324,15531,16406,31941
Nillumbik - Kinglake,20903,596,565,1163,2425,2305,4733,489,455,941,218,244,464,3132,3000,6138,1645,1460,3108,597,708,1302,496,438,934,2747,2601,5345,124,99,222,27,61,84,349,99,450,142,183,325,5,4,4,649,439,1091,809,1034,1849,153,216,370,91,122,216,224,453,675,0,3,3,1282,1831,3116,50,55,110,101,178,286,0,0,0,154,240,391,1308,1376,2687,115,171,281,9986,10224,20212
Whittlesea - Wallan,20904,2133,1891,4025,6852,6153,13006,2407,2469,4878,571,608,1174,9826,9231,19063,4151,3997,8144,2059,1966,4020,582,601,1184,6790,6562,13348,521,518,1039,312,527,832,578,270,845,535,743,1276,22,10,35,1964,2064,4028,2614,3064,5676,926,1085,2013,234,297,534,577,961,1534,20,30,48,4368,5446,9810,389,480,868,440,837,1273,21,28,48,850,1340,2185,6048,6467,12512,742,1174,1920,32726,34169,66893
Keilor,21001,450,414,860,1006,892,1897,1163,991,2155,240,250,493,2414,2134,4541,950,819,1767,622,670,1296,315,330,642,1885,1814,3702,81,58,140,31,52,89,149,41,188,94,116,207,8,7,10,367,269,638,763,863,1628,138,209,348,79,94,174,176,290,463,5,6,11,1162,1457,2622,50,66,121,118,185,304,7,3,14,173,258,433,1414,1638,3054,143,212,359,8009,8192,16201
Macedon Ranges,21002,301,254,556,1075,961,2039,323,332,656,116,105,226,1519,1394,2910,508,508,1010,414,355,766,236,209,443,1162,1067,2224,28,32,66,9,22,32,107,51,157,58,74,139,3,6,7,209,181,389,190,287,468,29,72,100,24,42,59,81,188,265,0,0,3,325,580,904,17,22,40,40,121,160,0,3,3,57,146,208,857,909,1770,30,47,82,4459,4590,9051
Kingston,20803,1102,1013,2113,3180,3047,6228,1365,1163,2529,373,413,789,4917,4625,9544,1816,1918,3734,1026,929,1959,623,714,1341,3464,3565,7031,292,220,513,123,179,307,313,135,449,309,371,680,9,5,13,1044,918,1963,1193,1414,2607,290,453,737,133,206,344,411,789,1205,11,15,26,2047,2876,4917,140,138,279,218,422,647,3,15,19,362,573,936,2876,3328,6204,361,528,888,16165,17431,33588
Stonnington - East,20804,382,320,704,879,817,1698,389,362,745,419,468,886,1684,1646,3329,153,175,326,383,338,726,836,814,1651,1374,1329,2699,81,66,141,47,90,135,37,26,66,77,109,183,0,0,0,237,290,530,1214,1499,2710,388,416,808,85,101,182,224,327,553,3,7,11,1921,2348,4267,49,55,108,67,138,209,0,0,0,118,199,318,950,1098,2051,205,320,527,6876,7561,14432
Banyule,20901,1084,1111,2189,3459,3261,6724,1224,1133,2362,319,335,656,4999,4734,9737,2146,1865,4007,1027,1022,2049,629,706,1339,3804,3587,7394,228,220,451,119,196,310,289,114,400,309,326,631,8,4,16,953,856,1808,1810,2001,3815,631,734,1359,195,204,406,555,845,1402,16,12,28,3207,3800,7004,187,133,328,207,428,631,11,8,19,408,570,975,2862,3288,6149,451,647,1099,17762,18587,36357
Moreland - North,21003,659,568,1228,1562,1422,2983,864,852,1718,385,432,816,2813,2706,5524,1028,1020,2052,617,548,1168,338,335,675,1988,1902,3894,222,132,357,143,169,316,154,77,234,201,227,422,10,9,14,731,613,1345,1097,1003,2097,615,490,1102,94,124,215,303,459,755,12,10,21,2114,2079,4196,262,184,443,218,326,544,8,14,20,494,523,1015,2674,2707,5385,280,398,683,11753,11506,23256
Sunbury,21004,326,316,645,1235,1112,2344,384,411,795,108,87,197,1725,1606,3332,873,856,1728,376,360,731,129,129,254,1378,1346,2723,74,67,144,26,59,84,166,91,255,93,126,220,0,4,4,368,343,709,317,449,770,74,137,211,57,70,126,110,237,343,0,3,8,556,901,1458,39,55,92,85,149,235,3,0,6,122,206,330,964,1076,2042,72,83,158,5511,5882,11396
Tullamarine - Broadmeadows,21005,1351,1250,2604,4825,4418,9241,1692,1661,3356,1101,1141,2241,7622,7218,14840,3446,3426,6865,1174,1226,2397,1167,1277,2441,5779,5924,11705,601,512,1110,337,522,863,392,198,592,407,520,927,27,15,43,1769,1766,3533,2005,2411,4412,613,662,1275,208,271,476,386,561,949,22,26,46,3231,3924,7155,517,640,1158,403,816,1223,21,16,34,938,1475,2413,6005,5866,11873,575,800,1372,27275,28222,55496
Knox,21101,1256,1183,2435,4619,4223,8837,1029,990,2016,596,495,1084,6237,5702,11944,3114,3274,6391,1371,1192,2562,829,798,1627,5315,5263,10579,319,345,663,160,261,423,524,233,756,421,547,969,16,6,21,1438,1402,2836,2002,2200,4203,429,557,984,221,288,509,477,783,1260,7,9,21,3127,3846,6975,164,235,398,298,646,944,4,7,13,472,889,1360,3038,3274,6312,595,930,1523,21479,22483,43965
Manningham - East,21102,210,205,418,751,726,1472,244,195,439,224,187,409,1216,1112,2325,419,427,842,353,260,616,459,439,894,1223,1122,2351,43,40,85,10,17,27,82,30,114,43,52,94,0,0,0,182,143,318,475,496,971,69,103,168,58,56,114,62,138,201,3,8,9,663,802,1463,13,24,42,44,77,126,0,0,0,61,104,171,473,512,982,87,100,188,4117,4089,8211
Maroondah,21103,1001,978,1976,3257,3104,6360,744,730,1473,532,530,1065,4534,4362,8893,2061,1923,3982,744,656,1404,873,843,1709,3675,3418,7091,233,242,477,154,198,347,398,148,544,308,394,705,7,8,15,1108,986,2090,1124,1305,2424,320,442,759,141,193,339,396,718,1116,6,16,24,1994,2670,4665,177,186,359,241,487,722,10,8,19,423,684,1100,2234,2633,4869,350,501,848,15311,16233,31539
Whitehorse - East,21104,613,564,1177,1949,1875,3823,371,437,804,169,163,335,2490,2475,4966,1355,1168,2529,384,402,780,334,339,672,2077,1905,3979,142,111,249,82,131,218,127,42,168,137,215,349,7,7,11,489,501,992,931,992,1920,301,322,621,89,97,189,274,368,640,12,10,20,1606,1782,3391,78,92,169,131,270,401,3,3,8,211,374,582,1004,1256,2262,387,574,964,8877,9437,18315
Yarra Ranges,21105,1424,1257,2680,4938,4545,9483,920,926,1846,732,661,1391,6588,6132,12721,3108,2982,6087,928,1040,1970,1014,1149,2157,5044,5170,10214,252,314,567,114,176,298,771,281,1052,453,532,985,9,8,21,1603,1324,2923,1005,1325,2327,233,463,692,135,201,340,365,901,1268,5,12,21,1739,2910,4648,121,161,275,260,561,816,5,8,18,386,724,1115,3636,3882,7509,237,340,577,20648,21741,42392
Cardinia,21201,1061,915,1976,3101,2954,6055,839,834,1676,719,769,1486,4661,4557,9210,1846,1749,3593,615,660,1280,844,825,1671,3304,3232,6541,200,238,431,75,151,225,387,177,566,243,372,616,12,13,26,921,950,1868,559,848,1401,143,310,453,70,158,229,223,479,698,4,3,9,996,1793,2792,101,136,240,152,367,525,4,7,12,258,513,768,2751,2876,5631,179,276,457,14131,15116,29247
Casey - North,21202,1077,984,2061,4067,3743,7816,1067,1109,2179,903,860,1761,6047,5713,11757,2948,2672,5614,1022,1044,2067,1155,1165,2318,5127,4875,9998,368,355,719,172,299,474,459,211,666,342,474,814,12,10,18,1352,1346,2695,1551,1851,3402,333,478,815,185,248,434,339,564,901,5,20,28,2415,3161,5574,221,287,505,275,583,860,12,11,24,509,882,1387,3225,3338,6558,432,651,1085,20172,20942,41118
Casey - South,21203,1625,1498,3124,6442,6022,12458,1537,1459,2998,935,939,1878,8917,8418,17332,4067,3877,7942,1197,1263,2457,851,938,1787,6114,6072,12183,459,542,1003,243,390,628,505,300,806,461,730,1198,25,8,37,1697,1977,3671,1554,1727,3284,419,589,1004,157,250,411,399,722,1125,11,15,30,2540,3311,5852,319,440,758,371,868,1240,15,19,33,703,1330,2028,5105,5162,10266,668,998,1665,27362,28763,56123
Dandenong,21204,1287,1212,2501,4646,4298,8941,1514,1507,3023,584,554,1143,6747,6361,13101,3967,3580,7546,1157,1300,2456,631,606,1238,5759,5485,11237,864,679,1543,534,617,1152,350,184,540,521,589,1105,22,12,39,2294,2078,4380,3136,3000,6132,1180,1079,2262,269,319,592,490,624,1115,25,30,58,5106,5057,10163,677,740,1414,684,1055,1740,17,19,40,1379,1818,3197,6401,5994,12402,1022,1405,2423,29992,29402,59397
Glen Eira,20802,1456,1337,2794,3806,3390,7194,1088,1051,2137,1486,1483,2969,6375,5917,12293,2062,1796,3854,907,992,1902,1718,1749,3469,4688,4536,9223,291,222,514,225,317,541,209,87,295,315,424,737,7,4,14,1045,1056,2097,3247,3705,6954,1134,1246,2384,259,271,530,749,1084,1833,13,22,34,5413,6325,11738,227,246,477,312,530,838,7,9,17,549,785,1333,3335,3613,6944,789,1137,1930,23647,24706,48350
Monash,21205,1362,1246,2613,4574,4275,8849,1278,1222,2502,523,581,1109,6375,6085,12460,3284,2826,6110,1123,1202,2326,1169,1176,2352,5578,5204,10783,566,398,962,369,455,827,305,113,413,412,596,1004,16,10,25,1666,1569,3234,7176,7350,14526,2019,1870,3889,321,307,630,688,923,1617,44,33,77,10250,10480,20730,370,334,700,400,636,1037,3,8,19,774,982,1758,4188,4379,8569,1864,2540,4406,32055,32490,64554
Brimbank,21301,1275,1171,2452,4507,4123,8631,1983,2045,4027,506,510,1013,6996,6673,13669,3901,3652,7552,1391,1877,3259,575,537,1111,5861,6065,11930,628,534,1164,380,574,955,394,201,600,406,472,875,31,30,57,1838,1806,3646,3000,3146,6142,956,1048,2006,308,281,594,475,577,1055,26,42,64,4769,5090,9857,681,821,1507,596,1086,1686,21,35,55,1296,1941,3243,6964,6895,13864,640,899,1543,29649,30558,60203
Hobsons Bay,21302,746,704,1457,2332,2174,4504,779,822,1595,246,308,549,3357,3293,6653,1273,1142,2421,716,798,1511,370,377,749,2365,2315,4677,130,111,241,85,104,184,163,75,239,191,256,447,9,5,15,574,560,1132,966,1048,2019,278,404,689,89,133,223,310,663,968,8,8,23,1656,2262,3917,102,145,250,175,351,521,3,4,12,287,495,782,2283,2485,4769,218,359,577,11483,12484,23961
Maribyrnong,21303,655,578,1233,1788,1688,3471,636,647,1287,143,164,298,2567,2494,5062,1108,1034,2144,467,517,981,199,184,384,1777,1729,3509,245,207,454,249,296,543,113,80,192,271,283,559,11,5,17,891,870,1767,1970,1725,3695,1089,885,1977,123,167,296,576,796,1372,10,13,28,3772,3589,7363,223,335,556,266,452,713,6,7,18,495,799,1291,3156,3082,6233,413,627,1040,13721,13770,27491
Melton - Bacchus Marsh,21304,1515,1479,2998,5544,5336,10883,1679,1808,3483,945,947,1893,8170,8089,16256,3424,3213,6637,1255,1366,2620,889,892,1781,5568,5473,11040,268,266,534,148,253,399,410,182,589,331,455,786,8,6,9,1160,1163,2319,1263,1653,2918,299,542,839,159,262,414,391,694,1085,9,10,20,2121,3156,5281,286,339,620,332,705,1034,11,16,27,623,1056,1680,5496,5318,10811,394,594,990,25052,26333,51386
Wyndham,21305,2306,2194,4496,7422,6678,14097,2661,2559,5220,1435,1453,2883,11519,10688,22199,4214,4058,8274,1827,1979,3808,988,1026,2009,7030,7064,14094,487,445,934,321,582,906,495,227,720,514,792,1303,20,17,34,1836,2069,3904,2353,2503,4859,1054,1213,2266,229,325,557,773,1106,1885,20,30,49,4432,5176,9615,574,704,1274,601,1266,1869,18,29,44,1188,1997,3181,7545,6534,14078,1446,2156,3594,37295,37880,75173
Frankston,21401,1265,1090,2356,4330,4163,8496,693,651,1348,432,410,840,5454,5225,10678,2936,2800,5740,532,548,1073,531,593,1123,3998,3937,7937,220,318,543,149,261,406,495,261,759,418,598,1016,12,10,20,1295,1455,2747,845,1223,2071,231,461,690,103,193,296,329,776,1107,7,8,15,1513,2661,4181,160,185,343,236,524,763,6,12,23,406,720,1123,4336,4617,8950,247,394,641,18512,20101,38614
Mornington Peninsula,21402,1243,1182,2424,4747,4526,9270,949,919,1866,738,762,1505,6433,6214,12647,2589,2346,4933,1044,1061,2103,1213,1269,2479,4845,4678,9517,239,246,492,112,198,312,540,219,761,320,521,836,14,19,31,1228,1207,2433,740,1070,1809,143,348,490,104,124,227,337,725,1063,6,9,20,1330,2278,3609,158,132,293,213,502,715,7,10,18,380,645,1022,4267,4909,9173,244,336,583,19965,21443,41404
Grampians,21501,400,365,767,1623,1520,3143,411,401,812,222,203,421,2254,2122,4378,1279,1254,2537,416,422,841,67,79,144,1767,1763,3529,51,50,99,25,39,61,112,60,170,84,125,204,3,5,6,264,271,536,63,145,212,55,110,161,21,73,95,104,245,347,0,5,5,242,573,821,46,66,115,69,149,223,4,6,9,122,220,342,2835,2177,5011,91,128,223,7979,7617,15591
Mildura,21502,512,431,945,1702,1550,3255,369,358,727,176,174,355,2252,2085,4330,1281,1269,2552,336,387,723,89,89,176,1710,1746,3451,110,103,212,53,79,130,146,116,258,165,222,388,4,9,13,473,524,998,86,225,312,49,132,180,29,54,81,88,228,320,0,7,7,247,650,901,51,58,109,64,141,205,4,7,10,117,200,323,2610,2571,5185,404,411,820,8330,8623,16953
Murray River - Swan Hill,21503,269,264,529,985,880,1865,421,414,836,64,69,128,1467,1364,2832,964,903,1864,206,212,426,47,61,105,1219,1179,2393,19,30,56,19,34,53,99,71,169,90,130,216,6,0,9,233,263,499,35,70,113,13,43,56,12,28,39,40,139,175,0,3,3,104,275,383,18,33,52,26,70,98,3,3,6,53,105,154,2203,2047,4249,151,154,306,5694,5652,11342
Campaspe,21601,262,253,514,1001,877,1875,429,432,869,99,101,206,1527,1416,2945,706,605,1309,390,397,789,146,143,290,1241,1144,2389,30,41,77,6,39,46,129,75,201,69,130,201,3,9,11,237,294,533,41,99,138,21,62,77,6,31,33,38,132,171,0,0,3,99,321,422,20,33,49,26,99,125,0,0,3,49,125,177,1516,1616,3126,49,66,115,4984,5236,10219
Moira,21602,231,200,427,587,542,1133,477,484,966,71,77,149,1143,1109,2250,489,451,935,313,299,616,93,88,182,898,830,1733,21,37,62,10,40,46,101,71,176,67,134,200,4,5,7,203,290,492,33,70,95,14,36,53,10,40,48,22,92,114,0,0,0,71,239,308,41,27,67,38,81,116,3,0,3,78,104,181,1255,1234,2487,58,74,124,3927,4072,8004
Shepparton,21603,500,446,945,2008,1795,3801,679,656,1337,154,137,289,2835,2586,5419,1167,1173,2339,752,734,1486,303,257,560,2222,2167,4389,97,152,249,80,144,223,191,108,295,131,288,417,9,4,13,503,695,1200,151,282,437,67,162,223,21,66,90,129,288,418,3,7,11,369,806,1176,92,96,187,96,195,289,10,0,7,192,292,480,3196,2971,6162,135,224,361,9956,10186,20143
Glenelg - Southern Grampians,21701,249,240,492,1007,866,1875,210,193,409,183,162,339,1404,1221,2621,670,638,1311,262,307,572,232,215,452,1165,1160,2333,37,33,72,8,24,32,94,67,160,59,146,206,0,7,7,199,273,473,24,72,97,28,48,71,3,26,30,56,142,198,0,0,0,108,289,396,21,40,57,53,105,158,5,4,8,78,154,226,1395,1407,2803,70,79,151,4673,4825,9498
Colac - Corangamite,21703,303,275,582,1012,848,1859,556,529,1084,18,15,32,1588,1394,2984,663,562,1220,503,515,1017,21,25,42,1185,1101,2284,37,49,80,3,28,33,102,59,161,67,130,194,5,3,6,215,265,478,38,97,134,17,58,74,15,34,48,59,121,175,0,0,0,133,303,437,30,22,55,38,88,121,3,4,7,64,113,181,1551,1483,3034,232,325,556,5265,5253,10517
Warrnambool,21704,389,319,710,1223,1139,2361,807,860,1665,107,84,195,2142,2086,4226,994,965,1956,517,618,1130,90,99,187,1600,1678,3280,75,108,181,22,91,110,153,95,247,139,249,388,3,4,10,386,549,937,147,309,455,74,126,197,28,45,68,101,255,355,0,5,3,347,738,1088,31,34,63,63,133,199,3,6,12,93,180,272,1914,2033,3946,196,203,397,7067,7784,14857
Capalaba,30101,468,411,877,2087,1922,4006,705,674,1381,489,503,990,3272,3096,6376,1418,1321,2739,543,424,965,715,708,1420,2675,2453,5131,111,133,247,51,107,159,186,144,324,150,270,423,3,4,4,502,658,1164,650,828,1479,135,219,348,96,131,226,223,443,664,3,0,8,1102,1626,2727,49,65,110,89,212,300,4,4,10,140,282,423,1274,1443,2712,153,232,381,9586,10200,19785
Cleveland - Stradbroke,30102,449,423,874,2389,2300,4692,514,478,989,710,732,1441,3612,3510,7119,1511,1373,2880,523,549,1073,988,924,1915,3024,2842,5864,138,159,298,41,116,157,196,112,309,161,335,500,12,0,9,545,725,1269,577,823,1404,113,225,338,77,117,197,222,437,659,3,8,10,996,1606,2604,66,72,142,144,266,408,5,3,7,211,347,557,1931,2181,4116,236,336,572,11009,11960,22976
Wynnum - Manly,30103,559,448,1009,2041,2040,4080,812,695,1504,413,443,858,3269,3181,6446,993,938,1931,793,528,1319,452,626,1076,2240,2094,4331,95,104,196,55,90,142,112,86,195,165,291,454,4,0,8,421,580,1001,614,744,1360,127,247,372,70,125,194,284,525,805,3,8,9,1102,1640,2740,62,74,130,121,215,344,0,0,3,183,293,479,1485,1636,3120,202,299,507,9460,10162,19624
Bald Hills - Everton Park,30201,271,261,527,1016,921,1938,474,498,970,203,214,417,1691,1630,3320,526,535,1062,478,521,1003,300,330,626,1302,1391,2695,49,53,103,33,48,82,94,63,150,89,162,248,3,3,4,260,325,584,513,683,1202,146,194,333,68,75,141,223,363,583,0,3,6,955,1314,2270,26,44,70,70,115,182,0,0,0,96,158,254,658,789,1448,146,248,393,5389,6109,11493
Chermside,30202,421,393,814,1644,1537,3186,964,945,1906,129,134,261,2736,2613,5352,982,935,1913,768,689,1453,217,248,466,1970,1863,3834,124,124,251,99,168,261,119,101,225,173,280,456,5,3,4,517,678,1193,751,1098,1844,307,449,756,106,143,251,405,643,1046,5,11,18,1575,2336,3913,71,93,166,116,215,331,0,8,5,190,311,499,1863,2162,4028,250,377,628,9514,10747,20257
Nundah,30203,235,200,431,893,806,1696,404,383,783,49,67,116,1339,1253,2598,539,463,1001,440,301,745,59,112,172,1042,878,1919,76,71,146,60,103,163,54,46,96,105,162,273,3,0,3,301,388,688,484,555,1040,209,265,474,52,77,128,233,318,548,3,0,3,979,1216,2199,60,73,133,60,132,189,0,0,0,119,206,324,1042,1177,2222,166,246,413,5220,5568,10792
Sandgate,30204,393,346,737,1519,1506,3028,755,700,1454,91,89,182,2366,2295,4667,956,842,1795,614,561,1175,139,174,310,1707,1580,3286,87,100,186,84,117,203,122,83,202,144,282,431,4,0,4,445,580,1023,556,677,1232,202,318,522,70,99,162,275,461,734,4,4,9,1105,1560,2665,83,81,163,97,217,315,5,3,5,180,306,483,1355,1448,2799,202,314,512,7749,8421,16168
Carindale,30301,312,339,656,1176,1076,2244,642,611,1259,272,272,544,2092,1957,4052,589,492,1081,631,638,1276,406,408,811,1630,1535,3166,80,81,166,41,92,130,83,66,142,110,180,288,7,4,6,317,414,737,836,994,1833,246,259,503,113,152,270,284,443,729,4,6,8,1484,1858,3342,55,81,138,83,130,213,4,0,4,142,214,350,998,1131,2129,238,304,541,7217,7755,14973
Holland Park - Yeronga,30302,367,391,756,1421,1345,2767,685,602,1288,164,161,325,2274,2110,4386,791,681,1472,643,620,1263,333,348,683,1761,1655,3416,165,165,332,156,228,386,105,81,181,185,279,468,0,9,12,613,768,1377,1995,2140,4134,981,970,1952,184,221,403,574,889,1466,10,12,21,3749,4233,7985,128,134,265,140,217,361,3,5,9,270,362,638,2387,2372,4760,415,598,1016,11841,12484,24319
Mt Gravatt,30303,395,411,802,1914,1854,3766,529,561,1087,339,303,642,2776,2716,5495,1381,1435,2818,489,439,922,424,394,820,2296,2265,4567,191,167,360,183,260,441,142,66,207,178,294,470,5,7,15,700,791,1487,1806,2193,4007,639,684,1323,142,154,298,367,512,879,10,16,20,2966,3556,6527,181,213,389,159,219,377,3,3,9,338,437,774,1593,1681,3273,658,920,1580,11723,12782,24507
Nathan,30304,282,244,533,1068,1022,2088,350,318,667,119,123,235,1535,1458,2991,511,466,974,365,307,673,147,195,342,1026,970,1990,95,96,192,93,113,206,64,43,105,98,145,234,3,4,6,344,396,746,1120,1171,2291,571,424,994,78,78,156,265,335,595,9,4,16,2037,2019,4051,91,94,183,73,123,203,0,3,3,168,216,385,1062,1071,2130,278,379,653,6728,6754,13482
Rocklea - Acacia Ridge,30305,473,399,873,1990,1863,3852,402,425,828,272,257,531,2667,2549,5215,1289,1226,2518,368,355,722,271,288,561,1932,1872,3802,136,162,300,129,244,374,98,73,174,133,261,397,3,5,7,505,752,1254,1006,1064,2068,420,424,847,98,112,215,234,351,589,8,7,17,1778,1950,3725,126,117,242,122,179,301,5,7,11,250,305,554,1468,1395,2865,488,778,1268,9554,10000,19551
Mudgeeraba - Tallebudgera,30905,286,249,535,1123,1097,2217,172,151,324,531,563,1094,1826,1818,3640,617,567,1179,204,173,378,561,581,1141,1383,1315,2697,36,42,85,14,44,57,82,45,129,79,157,234,0,0,0,216,286,501,269,362,630,42,121,162,33,59,94,124,243,362,3,0,3,478,777,1254,33,34,68,43,120,165,0,0,0,75,162,237,835,851,1686,116,137,259,5220,5600,10813
Nerang,30906,571,472,1040,2199,2048,4249,465,444,905,493,510,1001,3151,3001,6152,1451,1392,2842,348,326,669,526,545,1076,2328,2263,4588,95,113,210,56,162,217,147,120,270,147,297,450,3,4,7,455,694,1150,488,608,1092,143,252,392,70,124,192,157,424,582,3,8,10,856,1412,2273,62,89,143,106,237,344,9,3,9,167,330,500,1967,2169,4129,304,375,678,9793,10713,20508
Ormeau - Oxenford,30907,1116,1078,2191,4507,4270,8780,641,664,1304,1321,1323,2641,6471,6254,12725,2914,2743,5653,456,501,965,1128,1153,2283,4503,4400,8898,171,239,406,96,251,348,287,230,514,279,601,881,10,8,18,837,1328,2162,771,1070,1841,217,468,685,109,180,283,295,726,1023,8,15,17,1391,2461,3858,118,180,292,148,438,590,7,8,13,274,626,894,3884,4143,8030,474,578,1049,18949,20870,39817
Outback - South,31503,87,79,167,574,531,1105,186,155,335,24,14,42,778,706,1483,317,356,667,6,3,11,11,5,16,333,363,693,13,20,36,4,7,10,25,37,58,24,69,97,3,0,3,72,137,207,4,44,48,17,27,45,12,28,36,39,113,152,0,0,0,73,207,275,9,11,23,25,50,74,0,0,3,34,69,97,976,957,1931,56,93,148,2405,2604,5010
Buderim,31601,357,336,694,1716,1697,3410,316,316,630,497,444,942,2526,2456,4987,1215,1323,2538,229,266,494,509,484,993,1945,2076,4021,75,70,147,55,130,183,105,96,200,100,254,358,5,0,3,334,558,889,710,1062,1768,285,427,714,90,115,200,210,459,670,8,10,16,1291,2074,3364,43,66,111,88,164,254,0,0,0,132,231,364,1178,1330,2510,268,440,701,8030,9501,17535
