lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Canada Bay (A),11520,35060,38670,73728,17815,12444,30259,4294,8103,12397,857,1188,2040,1224,1151,2374,24182,22888,47071,8775,13487,22260,5.1,5.0,5.0,69.0,59.2,63.8,65.5,56.2,60.6,3911,4103,8017,689,1051,1739,8418,9870,18289,3037,4081,7121,4565,2026,6594,191,303,490,600,982,1576,5355,3311,8658,31464,34161,65628,7122,7463,14580,18953,21017,39973,18128,19280,37411
Canterbury-Bankstown (A),11570,135647,139620,275266,54051,31549,85599,19105,25734,44841,4068,3689,7755,6743,5679,12420,83965,66655,150613,43563,64649,108219,8.0,8.5,8.2,61.9,47.7,54.7,56.9,43.7,50.2,6744,6123,12861,1172,1745,2915,18041,20418,38458,10373,13256,23627,21238,9788,31027,865,1656,2519,2146,3371,5512,24249,14811,39061,135662,138735,274403,21279,20714,41997,92340,95448,187790,56593,56033,112625
Carrathool (A),11600,1145,1038,2185,623,265,882,103,280,386,69,48,115,20,26,46,818,615,1430,239,329,570,2.4,4.2,3.2,71.4,59.2,65.4,69.4,57.1,63.3,8,12,20,0,16,15,64,120,183,55,88,139,231,111,342,11,19,28,15,30,44,256,162,413,1086,980,2067,183,169,350,793,696,1487,402,383,788
Central Coast (C) (NSW),11650,127602,139707,267307,53462,29325,82786,15180,34046,49224,3448,4145,7589,5247,4850,10105,77335,72363,149701,42632,58761,101390,6.8,6.7,6.8,60.6,51.8,56.0,56.5,48.3,52.2,3153,3239,6391,1248,2350,3600,11083,16325,27408,9583,15087,24672,36265,18292,54557,1203,2478,3687,2439,4450,6888,39916,25215,65133,123670,131278,254948,20819,22709,43534,82070,86779,168850,56759,61990,118746
Central Darling (A),11700,800,685,1485,265,158,423,41,64,100,18,21,38,36,34,71,360,274,633,310,304,614,10.0,12.4,11.2,45.0,40.0,42.6,40.5,35.5,37.8,6,8,13,4,7,12,20,45,62,29,38,71,106,57,165,11,14,23,8,15,26,129,85,209,715,653,1365,93,93,188,536,503,1035,220,198,426
Coonamble (A),12150,1550,1573,3124,550,347,901,134,257,389,61,66,129,74,65,140,824,739,1563,462,579,1040,9.0,8.8,9.0,53.2,47.0,50.0,48.1,42.6,45.4,8,23,28,0,21,19,62,132,193,52,106,157,271,168,439,8,37,47,19,33,49,298,231,537,1381,1395,2774,205,225,430,1034,1011,2043,472,516,990
Cowra (A),12350,5073,5229,10296,1929,947,2880,495,1154,1644,136,150,288,182,155,335,2740,2404,5148,1917,2382,4298,6.6,6.4,6.5,54.0,46.0,50.0,50.5,43.0,46.7,53,44,99,33,69,97,254,477,727,213,450,665,1324,626,1944,52,117,169,76,154,232,1449,897,2343,4843,4909,9752,671,737,1406,3477,3428,6911,1773,1954,3732
Cumberland (A),12380,88379,83333,171707,35294,19322,54613,12769,14559,27324,2739,2160,4899,5262,3846,9103,56061,39877,95943,26863,38474,65337,9.4,9.6,9.5,63.4,47.9,55.9,57.5,43.2,50.6,5496,4576,10075,755,965,1721,12669,13592,26260,6729,7824,14553,11355,5421,16780,531,955,1481,1236,1662,2897,13127,8036,21159,84094,82016,166112,17481,14327,31812,52627,53465,106088,43351,37423,80776
Dungog (A),12700,3622,3687,7315,1481,769,2254,468,931,1404,126,111,233,121,104,227,2195,1921,4111,1152,1488,2645,5.5,5.4,5.5,60.6,52.1,56.2,57.3,49.1,53.2,64,70,136,30,65,97,230,414,650,239,425,666,1138,466,1603,24,67,98,60,123,182,1226,662,1885,3639,3618,7257,456,482,941,2681,2585,5264,1208,1321,2532
Edward River (A),12730,3552,3720,7276,1490,813,2306,386,881,1270,115,117,236,102,92,200,2101,1908,4011,1091,1435,2520,4.9,4.8,5.0,59.1,51.3,55.1,56.1,48.7,52.4,40,51,90,18,63,85,195,370,560,183,322,504,872,458,1330,32,62,98,64,80,140,970,600,1570,3319,3421,6739,505,528,1034,2402,2423,4827,1220,1326,2542
Eurobodalla (A),12750,15527,16390,31914,4006,2471,6483,2088,3574,5662,394,441,835,569,419,986,7059,6904,13959,7136,8119,15254,8.1,6.1,7.1,45.5,42.1,43.7,41.8,39.6,40.7,354,362,711,225,391,617,1221,1733,2948,1037,1621,2660,4522,1961,6483,168,271,440,306,587,901,5001,2825,7822,14031,14560,28592,2363,2498,4859,9647,9858,19511,6272,6737,13016
Fairfield (C),12850,78424,82452,160880,28537,16685,45228,9444,13185,22628,2234,1813,4041,4512,3917,8429,44733,35598,80326,29721,42937,72659,10.1,11.0,10.5,57.0,43.2,49.9,51.3,38.4,44.7,1234,1385,2620,275,509,782,6861,7944,14810,4946,6589,11534,11571,5789,17364,577,1147,1725,1165,1677,2844,13309,8616,21927,80439,83421,163859,10449,10692,21142,58721,60805,119526,28053,29148,57197
Federation (A),12870,5060,5122,10187,1999,942,2936,485,1167,1648,189,194,381,134,129,257,2798,2428,5222,1802,2243,4049,4.8,5.3,4.9,55.3,47.4,51.3,52.8,45.0,48.7,40,66,100,34,69,107,217,438,654,246,431,683,1457,569,2028,35,108,146,83,139,215,1572,813,2389,4725,4731,9451,732,780,1511,3528,3512,7048,1676,1763,3445
Forbes (A),12900,3821,3815,7636,1640,850,2493,364,816,1177,133,139,272,116,110,225,2253,1914,4169,1202,1563,2764,5.1,5.7,5.4,59.0,50.2,54.6,55.9,47.3,51.6,33,55,92,25,49,79,190,394,588,177,340,513,927,462,1392,42,84,131,66,106,173,1036,655,1691,3726,3640,7364,535,609,1146,2622,2556,5175,1409,1450,2865
Georges River (A),12930,59077,63143,122216,26465,16780,43243,8801,14115,22916,1570,1808,3380,2447,2403,4844,39279,35103,74380,17164,25240,42408,6.2,6.8,6.5,66.5,55.6,60.9,62.4,51.8,56.9,5112,4824,9934,769,1149,1918,11783,13238,25021,5159,6684,11845,8529,3803,12334,322,592,908,998,1693,2689,9849,6087,15934,56174,59092,115265,10423,10882,21304,37606,39923,77532,26513,27623,54139
Gilgandra (A),12950,1688,1752,3440,729,382,1109,173,378,554,56,67,121,71,45,110,1027,868,1893,508,742,1257,6.9,5.2,5.8,60.8,49.5,55.0,56.8,47.2,51.9,14,19,34,0,16,14,57,185,240,52,135,190,396,228,628,18,31,57,31,44,72,442,307,750,1647,1727,3374,218,220,438,1188,1223,2411,571,627,1198
Glen Innes Severn (A),13010,3635,3692,7322,1171,674,1845,398,764,1166,101,114,215,169,114,283,1844,1663,3509,1463,1672,3134,9.2,6.9,8.1,50.7,45.0,47.9,45.9,42.0,44.1,32,57,88,22,45,67,181,318,496,173,343,521,802,448,1247,58,73,128,73,125,198,934,642,1579,3221,3352,6570,503,569,1070,2348,2398,4741,1220,1343,2557
Goulburn Mulwaree (A),13310,12173,12065,24238,5022,2833,7861,1322,2798,4121,360,382,745,462,387,851,7173,6396,13569,4146,4706,8848,6.4,6.1,6.3,58.9,53.0,56.0,55.1,49.8,52.5,239,268,508,126,212,341,757,1177,1935,800,1267,2068,3269,1640,4907,116,211,331,194,382,572,3580,2227,5811,11004,11115,22124,2008,2075,4083,7337,7360,14698,5034,5222,10250
Greater Hume Shire (A),13340,4051,4061,8116,1869,860,2729,442,1129,1572,141,168,314,113,109,223,2571,2263,4835,1199,1497,2695,4.4,4.8,4.6,63.5,55.7,59.6,60.5,53.1,56.9,50,79,123,22,70,101,255,451,708,261,446,702,1129,557,1692,40,79,117,60,133,196,1235,772,2007,4272,4139,8415,489,553,1040,3102,2905,6010,1392,1556,2951
Griffith (C),13450,10081,10196,20274,4996,2585,7579,1002,2494,3493,303,333,638,337,249,586,6637,5661,12303,2400,3448,5853,5.1,4.4,4.8,65.8,55.5,60.7,62.5,53.1,57.8,146,144,290,63,143,207,635,991,1632,438,770,1213,2460,1140,3599,67,179,252,119,282,397,2649,1601,4246,9566,9619,19189,1623,1645,3270,6769,6753,13519,3838,3931,7773
Gundagai (A),13510,4438,4692,9126,1711,917,2622,470,1012,1489,140,136,275,134,117,254,2454,2180,4633,1650,2171,3816,5.5,5.4,5.5,55.3,46.5,50.8,52.3,44.0,48.1,44,58,102,27,60,81,236,416,649,243,407,647,1137,567,1704,45,101,151,70,133,208,1256,807,2060,4347,4460,8803,624,668,1295,3204,3275,6480,1536,1642,3179
Gunnedah (A),13550,4799,4887,9686,2340,1133,3474,453,1138,1586,156,162,320,163,152,314,3114,2580,5694,1295,1920,3211,5.2,5.9,5.5,64.9,52.8,58.8,61.5,49.8,55.5,51,61,116,27,79,100,277,488,771,209,445,654,1258,619,1878,58,95,149,88,147,233,1399,868,2266,4656,4646,9300,830,857,1684,3114,3039,6156,1978,2110,4088
Gwydir (A),13660,2143,2137,4280,886,433,1327,182,442,618,63,72,137,48,64,106,1178,1006,2187,729,924,1651,4.1,6.4,4.8,55.0,47.1,51.1,52.8,44.3,48.6,15,20,30,10,26,38,100,210,305,93,197,289,421,248,667,19,32,55,25,51,77,468,324,794,2035,1973,4006,292,312,604,1514,1459,2967,680,709,1389
Hawkesbury (C),13800,25325,26394,51718,13559,7535,21093,2845,6803,9645,773,816,1583,689,759,1446,17859,15907,33768,5925,8893,14817,3.9,4.8,4.3,70.5,60.3,65.3,67.8,57.4,62.5,555,717,1275,218,487,704,1652,3131,4781,1858,2990,4847,8346,3612,11955,194,506,702,473,815,1290,9009,4930,13937,25334,25940,51273,3735,3845,7575,17636,17877,35509,10252,10806,21061
Hay (A),13850,1220,1210,2431,547,260,807,116,281,391,53,43,95,38,22,62,753,608,1358,320,451,772,5.0,3.6,4.6,61.7,50.2,55.9,58.7,48.3,53.2,11,10,18,5,13,18,47,94,140,57,90,154,251,130,382,8,25,37,11,22,35,276,183,458,1127,1101,2224,153,167,323,827,801,1635,385,411,800
Penrith (C),16350,75700,79074,154775,40384,23856,64237,7821,17962,25787,2167,2670,4837,2865,2875,5743,53238,47361,100604,18127,27208,45329,5.4,6.1,5.7,70.3,59.9,65.0,66.5,56.3,61.3,2060,2326,4379,554,1055,1604,5876,8860,14732,5229,7772,13002,20014,10257,30276,608,1397,2003,1348,2134,3479,21977,13786,35760,75181,77431,152617,12233,12832,25066,51105,52186,103287,31884,33994,65880
Port Macquarie-Hastings (A),16380,30994,34451,65441,10328,6328,16655,3717,7603,11321,791,882,1679,1159,989,2151,15999,15800,31799,12865,16429,29296,7.2,6.3,6.8,51.6,45.9,48.6,47.9,43.0,45.3,674,686,1362,348,651,1003,2629,3791,6424,2240,3730,5970,9027,4411,13439,325,690,1012,585,1243,1827,9935,6348,16283,28713,31207,59923,5405,5947,11357,18389,19840,38229,14600,16124,30722
Port Stephens (A),16400,27935,29111,57039,10608,5315,15925,3111,6895,10009,805,860,1669,1156,988,2151,15689,14066,29752,10083,12943,23026,7.4,7.0,7.2,56.2,48.3,52.2,52.0,44.9,48.4,525,516,1045,234,396,629,1810,2817,4624,2059,3016,5074,8943,4023,12970,289,582,871,549,977,1527,9783,5591,15372,26151,26728,52878,4782,5006,9791,17122,17455,34582,12667,13110,25777
Queanbeyan-Palerang Regional (A),16490,22443,22624,45061,11960,8141,20096,2502,5092,7595,767,933,1702,662,567,1235,15890,14730,30623,4856,6298,11157,4.2,3.8,4.0,70.8,65.1,68.0,67.9,62.6,65.2,1513,1211,2725,463,794,1261,2629,3745,6372,1961,2524,4482,5209,2346,7556,170,369,537,292,591,881,5668,3303,8973,21286,21076,42361,3987,4052,8043,13987,13849,27835,10117,10337,20451
Randwick (C),16550,58503,61199,119698,25846,19259,45106,7110,12853,19960,1326,1888,3215,2042,2001,4046,36322,35996,72323,17644,20650,38290,5.6,5.6,5.6,62.1,58.8,60.4,58.6,55.6,57.0,6238,6411,12650,950,1658,2610,13265,16333,29601,4048,5852,9906,7447,2969,10414,251,464,714,780,1243,2026,8478,4677,13151,47662,50834,98497,12773,13571,26345,28360,31115,59476,30225,31358,61585
Richmond Valley (A),16610,9100,9347,18441,2879,1643,4519,1225,1996,3216,243,283,527,396,291,694,4740,4211,8955,3576,4383,7955,8.4,6.9,7.7,52.1,45.1,48.6,47.8,42.0,44.8,83,87,166,49,96,144,367,713,1072,349,740,1092,2421,1304,3720,105,222,319,147,264,413,2669,1781,4452,8744,8892,17633,1387,1463,2852,6228,6282,12508,3398,3528,6925
Rockdale (C),16650,45121,46861,91982,20133,13399,33532,6718,9797,16522,1348,1420,2771,1881,1621,3499,30086,26243,56327,12000,17497,29500,6.3,6.2,6.2,66.7,56.0,61.2,62.5,52.5,57.4,3304,3326,6632,511,741,1250,8249,9332,17584,4047,4829,8882,6450,3001,9458,254,484,740,725,1169,1889,7429,4659,12085,40384,41830,82208,8637,8558,17198,25998,27436,53433,21103,21000,42109
Ryde (C),16700,46719,50619,97335,22481,15325,37805,6094,10732,16824,1117,1500,2616,2018,1847,3861,31700,29401,61102,12920,18915,31833,6.4,6.3,6.3,67.9,58.1,62.8,63.6,54.4,58.8,5794,5796,11589,732,1265,1994,11668,13081,24754,4019,5224,9245,5821,2648,8473,240,437,681,674,1246,1921,6739,4342,11083,42547,45056,87603,9863,10523,20388,26766,28572,55340,23638,24993,48631
Shellharbour (C),16900,26461,28388,54854,11787,5867,17655,2890,7444,10327,775,843,1623,1135,1060,2201,16594,15214,31811,8401,11577,19983,6.8,7.0,6.9,62.7,53.6,58.0,58.4,49.9,54.0,423,499,925,187,418,610,1588,2601,4187,1918,2798,4710,8381,4143,12517,251,556,805,480,967,1445,9107,5661,14764,26681,27956,54636,3944,4215,8163,18781,19539,38328,10438,11326,21771
Shoalhaven (C),16950,40891,42438,83332,12889,6884,19770,4856,9432,14288,1055,1212,2267,1456,1133,2589,20259,18661,38917,17502,20585,38083,7.2,6.1,6.7,49.5,44.0,46.7,46.0,41.3,43.6,862,926,1792,425,883,1311,2794,4175,6969,2801,4263,7061,12556,5407,17962,405,847,1251,786,1470,2250,13741,7726,21471,37265,38584,75847,6589,7088,13679,24990,25498,50490,17170,18526,35692
Singleton (A),17000,9250,8877,18127,4923,1937,6859,907,2424,3333,339,293,634,348,359,705,6515,5014,11525,2054,3220,5271,5.3,7.2,6.1,70.4,56.5,63.6,66.7,52.4,59.7,136,140,278,55,135,186,547,883,1433,534,764,1301,3082,1396,4481,96,215,310,156,278,432,3334,1882,5220,8862,8648,17511,1644,1514,3155,6013,5796,11817,3988,3855,7844
Snowy Monaro Regional (A),17040,8637,8118,16754,3862,2364,6217,1072,1996,3067,297,281,577,188,150,340,5416,4791,10201,2456,2613,5073,3.5,3.1,3.3,62.7,59.0,60.9,60.6,57.2,58.9,210,218,427,99,172,267,716,1083,1802,549,859,1410,2512,1015,3532,81,171,257,140,255,396,2735,1446,4186,7789,7416,15204,1380,1334,2719,5548,5271,10818,3260,3135,6392
Snowy Valleys (A),17080,5962,5830,11789,2529,1163,3688,522,1365,1885,237,179,415,190,154,343,3476,2859,6329,1929,2414,4343,5.5,5.4,5.4,58.3,49.0,53.7,55.1,46.4,50.8,54,64,123,35,85,122,343,540,887,281,549,827,1533,695,2231,46,126,172,95,151,248,1679,965,2646,5492,5482,10970,818,848,1668,4081,3937,8023,1942,2071,4016
The Hills Shire (A),17420,60193,63430,123621,32954,19381,52334,7819,16848,24664,1356,1824,3171,1990,1856,3837,44118,39900,84017,14197,21554,35752,4.5,4.7,4.6,73.3,62.9,68.0,70.0,60.0,64.9,5920,4858,10782,1058,1615,2669,12917,15039,27958,5913,7875,13781,10602,4405,15011,299,735,1034,1164,1951,3117,12067,7099,19164,63629,65750,129377,9379,9683,19068,42935,44265,87203,27192,28287,55483
Tweed (A),17550,36237,39810,76052,12134,6855,18991,4949,9746,14694,953,1094,2045,1439,1280,2720,19476,18978,38450,13934,17719,31653,7.4,6.7,7.1,53.7,47.7,50.6,49.8,44.4,47.0,727,816,1544,394,749,1140,2931,4595,7529,2496,4224,6727,10204,4662,14867,297,583,881,666,1261,1920,11166,6507,17670,33203,35556,68757,6426,7027,13446,21710,23045,44758,16336,18189,34530
Upper Hunter Shire (A),17620,5515,5691,11207,2592,1376,3968,635,1336,1968,184,179,359,156,157,320,3568,3046,6611,1446,2124,3573,4.4,5.2,4.8,64.7,53.5,59.0,61.8,50.8,56.2,60,84,143,35,66,107,297,616,914,283,502,787,1597,746,2347,44,106,149,90,157,249,1730,1008,2743,5341,5455,10801,861,885,1745,3731,3781,7517,2139,2271,4407
Upper Lachlan Shire (A),17640,3206,3138,6346,1459,716,2174,381,755,1141,89,126,219,79,61,142,2006,1661,3668,912,1228,2143,3.9,3.7,3.9,62.6,52.9,57.8,60.2,50.9,55.7,68,65,135,29,80,107,196,344,541,203,346,550,874,378,1251,35,65,103,51,117,168,956,561,1519,3125,3038,6167,390,399,792,2289,2185,4470,1032,1092,2119
Uralla (A),17650,2363,2530,4888,988,562,1550,292,642,934,73,71,146,77,70,145,1436,1345,2780,755,1013,1775,5.4,5.2,5.2,60.8,53.2,56.9,57.3,50.4,53.8,86,95,184,37,59,94,177,349,531,158,274,431,625,311,930,36,54,87,48,95,142,707,459,1159,2400,2546,4947,299,334,630,1764,1774,3542,795,967,1761
Wagga Wagga (C),17750,23997,25689,49690,12036,7128,19163,2651,6461,9114,697,862,1554,885,849,1732,16271,15299,31566,6158,8914,15074,5.4,5.5,5.5,67.8,59.6,63.5,64.1,56.3,60.0,720,712,1434,288,527,810,2241,3830,6065,1480,2347,3831,6620,3513,10136,293,491,790,406,746,1150,7322,4753,12072,22479,23455,45933,5192,5608,10801,14226,14807,29041,12038,13112,25150
Walcha (A),17850,1284,1276,2556,614,267,882,140,314,450,35,43,80,27,25,47,813,646,1457,319,475,797,3.3,3.9,3.2,63.3,50.6,57.0,61.4,48.9,55.2,15,18,34,11,23,35,76,135,214,74,113,191,298,130,431,12,30,41,19,47,60,329,207,531,1210,1195,2411,141,153,290,926,923,1848,358,349,708
Walgett (A),17900,2608,2275,4885,792,503,1300,219,394,614,71,75,147,147,98,245,1236,1066,2306,1038,926,1959,11.9,9.2,10.6,47.4,46.9,47.2,41.5,42.7,42.2,13,33,48,11,30,38,104,228,335,126,176,304,437,202,646,27,32,67,31,50,79,500,288,788,2411,2108,4520,339,347,692,1825,1516,3342,775,806,1577
Warren (A),17950,1084,1069,2153,517,288,805,69,201,273,33,35,69,49,40,91,672,568,1241,309,389,696,7.3,7.0,7.3,62.0,53.1,57.6,57.1,49.0,53.3,7,8,19,3,13,23,60,130,192,45,101,141,230,87,316,7,21,27,23,35,57,256,142,396,1069,1082,2157,117,97,220,813,783,1593,313,333,644
Warrumbungle Shire (A),18020,3844,3856,7699,1329,689,2017,316,789,1106,103,109,212,169,123,285,1915,1702,3618,1489,1727,3216,8.8,7.2,7.9,49.8,44.1,47.0,45.5,41.2,43.3,42,55,93,15,62,74,179,371,552,160,290,451,848,418,1269,59,76,133,78,87,165,982,578,1566,3636,3590,7223,441,492,933,2689,2584,5266,1209,1313,2521
Waverley (A),18050,26955,29153,56111,14417,10541,24966,3441,6480,9917,635,909,1548,730,727,1458,19230,18656,37888,4736,7304,12044,3.8,3.9,3.8,71.3,64.0,67.5,68.6,61.5,64.9,3001,3170,6170,595,791,1383,8050,9377,17425,2107,3101,5205,2697,1167,3865,95,157,250,391,602,995,3187,1925,5114,22062,23311,45372,5983,6415,12397,12772,13452,26217,14164,15264,29434
Weddin (A),18100,1519,1530,3051,601,288,889,130,331,462,40,50,92,42,37,79,812,702,1514,572,680,1248,5.2,5.3,5.2,53.5,45.9,49.6,50.8,43.7,47.3,10,19,31,9,19,27,74,161,231,71,135,205,351,171,521,19,44,61,27,42,67,393,252,648,1457,1454,2912,170,174,341,1132,1077,2211,447,475,921
Wentworth (A),18200,2831,2683,5519,1106,583,1692,277,611,886,104,107,214,106,70,180,1593,1371,2965,899,1033,1934,6.7,5.1,6.1,56.3,51.1,53.7,52.5,48.5,50.6,10,41,54,19,42,58,128,264,392,139,233,366,710,330,1040,30,45,69,42,52,95,777,426,1207,2679,2524,5203,383,416,796,1949,1777,3725,945,1018,1961
Western Plains Regional (A),18230,19222,20481,39702,8868,5690,14561,1856,4529,6380,539,664,1203,733,649,1381,11999,11524,23528,5672,7321,12995,6.1,5.6,5.9,62.4,56.3,59.3,58.6,53.1,55.8,361,444,804,193,381,574,1397,2659,4056,1009,1836,2853,5088,2746,7839,174,447,624,303,554,854,5564,3753,9319,17786,18767,36548,3482,3822,7300,11730,12316,24042,8371,9150,17519
Willoughby (C),18250,28247,31651,59899,14591,9742,24333,3619,6854,10471,604,900,1506,975,970,1939,19787,18467,38251,7036,11591,18627,4.9,5.3,5.1,70.0,58.3,63.9,66.6,55.3,60.6,4244,4101,8349,667,1017,1680,8894,9721,18612,2258,3280,5536,2016,1128,3145,98,210,309,375,685,1061,2497,2025,4522,26899,29141,56040,5990,6594,12591,16109,17586,33693,15369,16831,32198
Wingecarribee (A),18350,18615,20861,39473,7742,4287,12027,2480,5148,7630,470,516,982,393,414,810,11086,10363,21449,6243,9114,15354,3.5,4.0,3.8,59.6,49.7,54.3,57.4,47.7,52.3,916,853,1771,309,542,854,2288,3102,5388,1517,2540,4059,4893,2181,7072,133,347,484,397,824,1221,5425,3354,8781,17541,19210,36757,3180,3515,6689,11396,12373,23765,8648,9731,18374
Wollondilly (A),18400,18662,19180,37840,10226,5389,15610,1913,5207,7116,627,703,1333,457,542,997,13214,11842,25056,4379,6270,10649,3.5,4.6,4.0,70.8,61.7,66.2,68.4,58.9,63.6,375,556,933,149,325,468,1226,2141,3371,1260,2221,3485,6547,2602,9144,148,380,527,339,623,966,7031,3602,10640,19589,19665,39251,2751,2850,5598,13293,13126,26419,7820,8222,16038
Wollongong (C),18450,81811,85266,167073,33778,18660,52444,9939,21117,31062,2221,2529,4750,3707,3049,6753,49652,45356,95007,27728,35449,63180,7.5,6.7,7.1,60.7,53.2,56.9,56.2,49.6,52.8,4076,4031,8108,1105,2032,3131,9721,12329,22048,6315,8673,14989,21034,9437,30466,686,1412,2094,1383,2656,4043,23101,13506,36609,78987,81517,160507,13220,13376,26594,55011,56733,111746,33671,34645,68310
Woollahra (A),18500,21001,24768,45764,10915,8325,19238,2726,4897,7624,432,712,1145,471,494,965,14542,14430,28974,4516,8010,12525,3.2,3.4,3.3,69.2,58.3,63.3,67.0,56.3,61.2,3078,2889,5966,468,794,1262,7007,8157,15161,1407,2432,3840,1336,738,2069,72,114,182,299,513,816,1701,1372,3071,17711,20147,37852,4508,5338,9839,10129,11923,22053,11458,13071,24525
Yass Valley (A),18710,6181,6564,12744,3118,2001,5119,759,1646,2405,242,311,552,124,121,242,4241,4080,8325,1482,1979,3463,2.9,3.0,2.9,68.6,62.2,65.3,66.6,60.3,63.4,337,354,691,128,251,380,758,1176,1938,525,660,1188,1510,635,2149,45,87,134,86,194,282,1641,918,2560,6301,6509,12807,945,1033,1978,4459,4512,8976,2385,2690,5075
Unincorporated NSW,19399,466,400,869,259,144,400,52,82,140,28,29,56,0,4,10,336,266,608,76,94,173,0.0,1.5,1.6,72.1,66.5,70.0,72.7,63.7,68.6,4,6,13,0,3,7,25,50,77,25,37,62,124,62,184,5,7,9,14,9,28,141,78,219,439,385,818,49,48,99,323,268,594,140,139,277
No usual address (NSW),19499,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22.0,37.7,35.9,37.0,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
Migratory - Offshore - Shipping (NSW),19799,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0.0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
Alpine (S),20110,5074,5307,10384,1917,1091,3005,711,1384,2088,192,199,400,136,82,216,2956,2752,5705,1697,2113,3807,4.6,3.0,3.8,58.3,51.9,54.9,55.6,50.4,52.9,100,123,220,85,179,265,421,700,1114,381,603,984,1418,569,1991,48,85,130,73,133,211,1538,791,2329,4811,4902,9717,669,748,1418,3524,3565,7094,1755,1892,3650
Ararat (RC),20260,5232,4572,9798,1779,943,2726,573,1101,1676,149,168,316,151,107,257,2660,2313,4972,2238,1924,4158,5.7,4.6,5.2,50.8,50.6,50.7,47.8,48.4,48.2,40,57,96,44,118,157,259,492,749,300,470,769,1093,524,1620,45,61,106,65,96,164,1204,684,1893,4294,4283,8578,652,667,1315,3206,3186,6390,1498,1574,3076
Ballarat (C),20570,38889,43329,82219,16596,8873,25472,5039,11636,16673,1059,1511,2571,1843,1573,3415,24534,23596,48127,11923,17047,28977,7.5,6.7,7.1,63.1,54.5,58.5,58.4,50.8,54.4,1324,1418,2747,784,1492,2275,4259,6296,10556,2856,4114,6969,9482,5170,14646,331,719,1048,509,760,1270,10321,6645,16964,36798,39648,76451,7459,8277,15741,23352,25192,48543,18867,20849,39718
Banyule (C),20660,47926,51928,99850,22786,12770,35554,6450,14064,20514,1170,1670,2846,1797,1635,3429,32204,30140,62344,13408,19217,32622,5.6,5.4,5.5,67.2,58.0,62.4,63.4,54.9,59.0,3765,3704,7472,1319,2443,3767,9239,11312,20555,4330,5358,9683,9128,3730,12859,258,449,709,650,1038,1693,10042,5218,15261,47308,50237,97542,7211,7450,14661,33801,36277,70078,18626,19400,38022
