lga_name_2016,lga_code_2016,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot
Wanneroo (C),58760,18,43,9,7,13,49,52,37,139,2540,1936,246,4725,349,293,644,5365,2627,82,8066
Waroona (S),58820,0,0,0,0,0,0,4,3,9,40,36,12,85,10,6,15,105,58,3,167
West Arthur (S),58890,0,0,0,0,0,0,0,0,0,8,3,0,7,0,0,0,10,9,0,20
Westonia (S),59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Palmerston (C),72800,8,11,0,0,0,11,20,13,50,636,198,54,888,48,32,79,965,416,22,1398
Roper Gulf (R),73600,0,0,0,0,0,0,12,3,20,55,21,16,88,6,17,23,114,200,10,321
Tiwi Islands (R),74050,0,0,0,0,0,0,3,0,4,9,31,8,52,9,0,11,55,88,0,149
Victoria Daly (R),74550,0,0,0,0,0,0,4,5,10,22,9,5,35,5,10,20,56,63,3,126
Wickepin (S),59100,0,0,0,0,0,0,0,0,0,4,7,0,13,0,0,0,9,7,0,15
Wagait (S),74560,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,10,3,0,13
West Arnhem (R),74660,0,0,0,0,0,3,4,11,13,59,16,9,86,15,9,26,114,141,11,263
West Daly (R),74680,0,0,0,0,0,0,0,0,0,22,11,4,33,28,0,28,60,101,4,161
Williams (S),59170,0,0,0,0,0,0,0,0,0,3,3,0,13,0,0,0,14,7,0,24
Wiluna (S),59250,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,14,12,0,25
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated ACT,89399,8,51,0,0,0,51,68,32,154,6171,2687,425,9275,261,212,472,9748,4295,88,14129
No usual address (ACT),89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,0,0,0,0,0,3,3,3,9,53,27,7,92,0,3,6,95,43,4,145
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wongan-Ballidu (S),59310,0,0,0,0,0,0,0,0,0,5,11,0,19,0,3,4,24,25,0,43
Woodanilling (S),59320,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,6,5,0,9
Wyalkatchem (S),59330,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,6,0,14
Wyndham-East Kimberley (S),59340,0,4,0,0,0,4,15,13,30,79,52,10,143,12,8,19,165,147,16,327
Yalgoo (S),59350,0,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,4,0,0,8
Yilgarn (S),59360,0,0,0,0,0,0,0,3,4,16,0,4,20,3,0,6,24,18,3,44
York (S),59370,0,0,0,0,0,0,0,0,0,33,30,3,64,3,6,9,75,55,0,136
No usual address (WA),59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (WA),59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Break O'Day (M),60210,0,0,0,0,0,0,3,0,3,34,53,11,91,10,4,14,108,113,3,223
Brighton (M),60410,3,10,0,0,0,10,19,8,40,202,267,33,503,46,31,77,576,546,12,1138
Burnie (C),60610,0,6,0,0,0,4,16,5,28,227,206,31,468,40,34,73,545,471,14,1029
Central Coast (M) (Tas.),60810,0,9,0,0,0,5,13,4,26,226,236,21,486,27,32,59,550,378,14,934
Central Highlands (M) (Tas.),61010,0,0,0,0,0,0,3,0,3,14,9,3,22,3,0,8,29,37,3,68
Circular Head (M),61210,0,0,0,0,0,6,3,10,14,75,80,8,159,9,8,15,174,106,6,286
Clarence (C),61410,3,12,0,0,0,14,22,6,47,773,673,77,1524,37,67,104,1628,978,24,2630
Derwent Valley (M),61510,0,3,0,0,0,4,8,3,18,93,114,19,230,17,12,25,257,233,4,497
Devonport (C),61610,0,9,0,4,4,12,16,8,39,279,324,35,635,45,47,89,721,638,16,1374
Dorset (M),61810,0,0,0,0,0,0,0,0,0,48,59,0,104,10,10,19,127,110,0,238
Flinders (M) (Tas.),62010,0,0,0,0,0,0,0,3,3,5,5,0,15,0,0,0,15,4,3,22
George Town (M),62210,0,0,0,0,0,0,0,0,7,43,63,10,118,19,11,29,152,172,3,327
Glamorgan/Spring Bay (M),62410,0,0,0,0,0,0,0,0,5,23,36,4,62,0,4,4,70,64,3,141
Glenorchy (C),62610,3,14,0,0,3,16,29,23,59,666,711,75,1462,78,82,160,1616,1238,38,2888
Barkly (R),70420,0,0,0,0,0,0,6,7,13,55,29,6,86,43,8,48,135,169,12,318
Belyuen (S),70540,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,13,0,12
Central Desert (R),70620,0,0,0,0,0,0,3,0,4,15,22,4,44,33,3,34,75,108,3,190
Coomalie (S),70700,0,0,0,0,0,0,3,8,6,17,8,0,31,8,0,8,36,29,8,72
Darwin (C),71000,11,17,0,0,3,25,27,24,73,1157,394,85,1636,69,40,111,1747,795,46,2584
East Arnhem (R),71300,4,26,11,7,19,40,60,42,145,74,86,17,172,31,15,49,225,377,54,650
Katherine (T),72200,0,0,0,0,0,4,7,7,22,116,24,9,149,6,3,15,167,122,14,298
Litchfield (M),72300,0,4,0,0,0,4,10,10,17,298,101,33,430,12,6,25,450,154,12,614
MacDonnell (R),72330,0,12,0,0,0,12,11,4,23,51,29,6,84,23,16,33,118,179,7,309
